class_name,area_km2_theoretical,area_km2_technical,area_diff_km2,area_pct_change,polygon_count_theoretical,polygon_count_technical,mean_area_km2_theoretical,mean_area_km2_technical
TOTAL,28011.230496666198,7153.246637641324,-20857.983859024873,-74.46293322068561,731106,10188,0.039423426645890554,0.6989347399392135
Dry Steppe,19671.467494307686,5370.669947069054,-14300.797547238632,-72.69817338933579,342935,5141,0.057362087551016044,1.04467417760534
Grassland,8339.763002358513,1782.57669057227,-6557.186311786243,-78.62557137333337,388171,5047,0.02148476574076506,0.353195302273087
