mpz_class,total_area_km2,avg_percentage,polygons_with_class
0,26.1423,1.4233254245616973,264
1,0.1458,0.009143734857606075,34
2,1259.6742,3.9014860490241356,1611
3,970.6167,15.669042182007733,5670
4,1632.8979,6.657076778340736,2261
5,923.1659999999999,25.175254687296935,7670
6,2735.3060999999993,12.112167430187437,2313
7,1499.3883,35.052503713723716,7475
